lat,lon,reported_date,reported_by,address,city,zip,addressline,country
40.37807,-3.75471,03/22/10 20:20:37,web,Calle de Jacobinia| 22-90| 28047 Madrid| Spain,madrid,28047,Calle de Jacobinia| 22-90,Spain
40.37675,-3.75093,03/23/10 00:54:21,web,Calle de Jacobinia| 22-90| 28047 Madrid| Spain,madrid,28047,Calle de Jacobinia| 22-90,España
40.42269,-3.69932,03/23/10 00:54:25,web,Calle de Hortaleza| 60| 28004 Madrid| Spain,madrid,28004,Calle de Hortaleza| 60,España
40.46079,-3.77554,03/23/10 11:36:11,web,Av de la Osa Mayor| 7| 28023 Madrid| Spain,madrid,28023,Av de la Osa Mayor| 7,España
40.37346,-3.73299,03/23/10 12:43:43,web,Av de los Poblados| 110| 28025 Madrid| Spain,madrid,28025,Av de los Poblados| 110,España
40.42326,-3.71086,03/23/10 12:47:39,web,Plaza de España| 28013 Madrid| Spain,madrid,28013,Plaza de España,España
40.43272,-3.70883,03/23/10 13:57:59,web,Calle de Vallehermoso| 17-29| 28015 Madrid| Spain,madrid,28015,Calle de Vallehermoso| 17-29,España
43.31288,-1.92093,03/23/10 16:00:14,web,Calle de Eskalantegi| 108| 20017 San Sebastián| Spain,san sebastián,,,España
27.99387,-15.45381,03/23/10 16:13:43,web,Calle Brezo| 1-5| 35200 Telde| Spain,telde,,Montaña las Palmas,España
37.63629,-0.9659,03/23/10 16:44:20,web,Camino Rural XIV Sifón| 30310 Cartagena| Spain,cartagena,30310,Camino Rural XIV Sifón,España
40.42168,-3.65773,03/23/10 17:03:55,web,Calle del Alcalde Sáinz de Baranda| 28017 Madrid| Spain,madrid,28017,Calle del Alcalde Sáinz de Baranda,España
28.48021,-16.31243,03/23/10 17:19:25,web,TF-180| 38205 San Cristóbal de La Laguna| Spain,san cristóbal de la laguna,38205,TF-180,España
41.65295,-4.72839,03/23/10 17:49:55,web,Calle de la Cebadería| 1-5| 47001 Valladolid| Spain,valladolid,47001,Calle de la Cebadería| 1-5,España
40.4143,-3.7074,03/22/10 21:32:38,web,Calle Imperial| 18| 28012 Madrid| Spain,madrid,28012,Calle Imperial| 18,España
41.38862,2.16954,03/23/10 09:14:31,web,Passeig de Gràcia| 6| 08007 Barcelona| Spain,barcelona,08007,Passeig de Gràcia| 6,España
40.42297,-3.71171,03/23/10 11:38:38,web,Plaza de España| 28013 Madrid| Spain,madrid,28013,Plaza de España,España
40.41936,-3.72065,03/23/10 11:39:16,web,Av de Portugal| 28008 Madrid| Spain,madrid,28008,Av de Portugal,España
40.37349,-3.72505,03/23/10 12:07:32,web,Av de los Poblados| 141| 28025 Madrid| Spain,madrid,28025,Av de los Poblados| 141,España
40.45133,-3.69088,03/23/10 16:04:49,web,Paseo de la Castellana| 28046 Madrid| Spain,madrid,28046,Paseo de la Castellana,España
40.38948,-3.713,03/23/10 16:08:13,web,A-42| 28019 Madrid| Spain,madrid,28019,A-42,España
27.99387,-15.45381,03/23/10 16:35:36,web,Calle Brezo| 1-5| 35200 Telde| Spain,telde,,Montaña las Palmas,España
40.42168,-3.65773,03/23/10 17:09:01,web,Calle del Alcalde Sáinz de Baranda| 28017 Madrid| Spain,madrid,28017,Calle del Alcalde Sáinz de Baranda,España
40.42168,-3.65773,03/23/10 17:15:37,web,Calle del Alcalde Sáinz de Baranda| 28017 Madrid| Spain,madrid,28017,Calle del Alcalde Sáinz de Baranda,España
40.4143,-3.7074,03/22/10 22:28:37,web,Calle Imperial| 18| 28012 Madrid| Spain,madrid,28012,Calle Imperial| 18,España
